8	8.5	7.5
8	8.5	14
8	8.5	20.5
8	8.5	27
8	8.5	33.5
8	8.5	40
8	8.5	46.5
8	8.5	53
8	8.5	59.5
8	8.5	66
8	8.5	72.5
8	8.5	79
8	8.5	85.5
8	8.5	92
8	8.5	98.5
8	22.4	7.5
8	22.4	14
8	22.4	20.5
8	22.4	27
8	22.4	33.5
8	22.4	40
8	22.4	46.5
8	22.4	53
8	22.4	59.5
8	22.4	66
8	22.4	72.5
8	22.4	79
8	22.4	85.5
8	22.4	92
8	22.4	98.5
8	36.3	7.5
8	36.3	14
8	36.3	20.5
8	36.3	27
8	36.3	33.5
8	36.3	40
8	36.3	46.5
8	36.3	53
8	36.3	59.5
8	36.3	66
8	36.3	72.5
8	36.3	79
8	36.3	85.5
8	36.3	92
8	36.3	98.5
8	50.2	7.5
8	50.2	14
8	50.2	20.5
8	50.2	27
8	50.2	33.5
8	50.2	40
8	50.2	46.5
8	50.2	53
8	50.2	59.5
8	50.2	66
8	50.2	72.5
8	50.2	79
8	50.2	85.5
8	50.2	92
8	50.2	98.5
8	64.1	7.5
8	64.1	14
8	64.1	20.5
8	64.1	27
8	64.1	33.5
8	64.1	40
8	64.1	46.5
8	64.1	53
8	64.1	59.5
8	64.1	66
8	64.1	72.5
8	64.1	79
8	64.1	85.5
8	64.1	92
8	64.1	98.5
8	78	7.5
8	78	14
8	78	20.5
8	78	27
8	78	33.5
8	78	40
8	78	46.5
8	78	53
8	78	59.5
8	78	66
8	78	72.5
8	78	79
8	78	85.5
8	78	92
8	78	98.5
8	91.9	7.5
8	91.9	14
8	91.9	20.5
8	91.9	27
8	91.9	33.5
8	91.9	40
8	91.9	46.5
8	91.9	53
8	91.9	59.5
8	91.9	66
8	91.9	72.5
8	91.9	79
8	91.9	85.5
8	91.9	92
8	91.9	98.5
16	8.5	7.5
16	8.5	14
16	8.5	20.5
16	8.5	27
16	8.5	33.5
16	8.5	40
16	8.5	46.5
16	8.5	53
16	8.5	59.5
16	8.5	66
16	8.5	72.5
16	8.5	79
16	8.5	85.5
16	8.5	92
16	8.5	98.5
16	22.4	7.5
16	22.4	14
16	22.4	20.5
16	22.4	27
16	22.4	33.5
16	22.4	40
16	22.4	46.5
16	22.4	53
16	22.4	59.5
16	22.4	66
16	22.4	72.5
16	22.4	79
16	22.4	85.5
16	22.4	92
16	22.4	98.5
16	36.3	7.5
16	36.3	14
16	36.3	20.5
16	36.3	27
16	36.3	33.5
16	36.3	40
16	36.3	46.5
16	36.3	53
16	36.3	59.5
16	36.3	66
16	36.3	72.5
16	36.3	79
16	36.3	85.5
16	36.3	92
16	36.3	98.5
16	50.2	7.5
16	50.2	14
16	50.2	20.5
16	50.2	27
16	50.2	33.5
16	50.2	40
16	50.2	46.5
16	50.2	53
16	50.2	59.5
16	50.2	66
16	50.2	72.5
16	50.2	79
16	50.2	85.5
16	50.2	92
16	50.2	98.5
16	64.1	7.5
16	64.1	14
16	64.1	20.5
16	64.1	27
16	64.1	33.5
16	64.1	40
16	64.1	46.5
16	64.1	53
16	64.1	59.5
16	64.1	66
16	64.1	72.5
16	64.1	79
16	64.1	85.5
16	64.1	92
16	64.1	98.5
16	78	7.5
16	78	14
16	78	20.5
16	78	27
16	78	33.5
16	78	40
16	78	46.5
16	78	53
16	78	59.5
16	78	66
16	78	72.5
16	78	79
16	78	85.5
16	78	92
16	78	98.5
16	91.9	7.5
16	91.9	14
16	91.9	20.5
16	91.9	27
16	91.9	33.5
16	91.9	40
16	91.9	46.5
16	91.9	53
16	91.9	59.5
16	91.9	66
16	91.9	72.5
16	91.9	79
16	91.9	85.5
16	91.9	92
16	91.9	98.5
24	8.5	7.5
24	8.5	14
24	8.5	20.5
24	8.5	27
24	8.5	33.5
24	8.5	40
24	8.5	46.5
24	8.5	53
24	8.5	59.5
24	8.5	66
