pct	A0:B0	radius	Models	k1	k2	tau_eta	h_zeta	chi2	Scientist	Det
48000	10:01	1	ST/MA	1.32E-04	5.67E-06	3.50E+02	7.93E-01	7.00E+00	1.07E+01	1.00E+00
48000	10:01	1	SV/MA	5.23E-11	2.15E-06	4.70E-01	1.47E+00	1.36E-03	1.00E+01	1.00E+00
48000	10:01	1	ST/ST	4.77E-05	4.43E-03	2.69E+02	6.46E-01	5.86E-04	1.09E+01	1.00E+00
0	10:01	5	MA/MA	1.21E-06	3.52E-04	0	0	5.54E-03	5.50E+00	9.96E-01
0	10:01	5	ST/MA	2.20E-06	2.39E-09	1.01E-03	1.37E-01	3.23E-03	6.04E+00	9.98E-01
0	10:01	5	SV/MA	1.48E-11	9.19E-10	1.08E+00	1.67E+00	5.14E-03	5.57E+00	9.96E-01
0	10:01	5	ST/ST	2.20E-06	1.08E-08	1.01E-03	1.37E-01	3.23E-03	6.04E+00	9.98E-01
1500	10:01	5	MA/MA	7.44E-07	1.16E-03	0	0	3.72E-03	5.72E+00	9.97E-01
1500	10:01	5	ST/MA	1.93E-06	3.20E-04	3.00E-01	2.30E-01	6.09E-04	3.75E+00	9.76E-01
1500	10:01	5	SV/MA	5.48E-23	3.58E-05	3.16E-03	1.16E+01	1.58E-03	6.58E+00	9.99E-01
1500	10:01	5	ST/ST	1.77E-06	1.72E-03	2.47E-04	2.01E-01	6.09E-04	7.53E+00	9.99E-01
3000	10:01	5	MA/MA	8.87E-07	1.74E-03	0	0	2.45E-03	6.06E+00	9.98E-01
3000	10:01	5	ST/MA	1.21E-04	1.58E-04	2.09E+02	8.80E-01	8.17E-04	7.15E+00	9.99E-01
3000	10:01	5	SV/MA	1.05E-19	5.46E-04	1.71E-05	9.28E+00	1.19E-03	6.78E+00	9.99E-01
3000	10:01	5	ST/ST	6.93E-06	1.07E-02	1.31E+02	3.78E-01	8.21E-04	7.15E+00	9.99E-01
4500	10:01	5	MA/MA	1.21E-06	2.84E-03	0	0	1.05E-02	4.22E+00	9.85E-01
4500	10:01	5	ST/MA	9.26E-05	1.81E-12	4.50E+01	9.50E-01	7.78E-04	6.83E+00	9.99E-01
4500	10:01	5	SV/MA	1.13E-23	8.86E-04	2.37E-05	1.22E+01	6.24E-03	4.75E+00	9.91E-01
4500	10:01	5	ST/ST	9.24E-05	1.47E-06	4.50E+01	9.50E-01	7.78E-04	-2.16E+00	-7.70E+00
