r c fdim
1 16000 1.969792914063
1 32000 1.93101042823003
1 48000 1.8836656251897
5 1500 1.73242239909704
5 3000 1.52064254927198
5 4500 1.34133102226972
1 25 2.95306116000111
2 25 2.94619295633297
3 25 2.93689094426904
4 25 2.9316800393932
1 50 2.90257003942228
2 50 2.88419137805279
3 50 2.86426769411637
4 50 2.8524177856938
1 75 2.82232565417372
2 75 2.81123986288143
3 75 2.77874462386905
4 75 2.75858110978852
