radius pct accvol pct_vol dim
5 1500 0.488875 0.524169 2
1 16000 0.818724 0.98662 2
5 3000 0.230474 0.26502 2
1 32000 0.641452 0.928588 2
5 4500 0.111883 0.138099 2
1 48000 0.50268 0.873604 2
1 25 0.538033485412598 0.819764735068451 3
1 50 0.265330314636230 0.639533658927107 3
1 75 0.101438999176025 0.459298393995558 3
2 25 0.63314437866211 0.827589395170992 3
2 50 0.369715213775635 0.655178790341984 3
2 75 0.175818920135498 0.482768185512977 3
3 25 0.706016063690186 0.832615943416736 3
3 50 0.466541290283203 0.665231886833472 3
3 75 0.256171703338623 0.497847830250208 3
4 25 0.738403797149658 0.836737712978246 3
4 50 0.516540050506592 0.673475425956491 3
4 75 0.311902523040771 0.510213138934737 3
