r c fdim
1 25 2.95306116000111
2 25 2.94619295633297
3 25 2.93689094426904
4 25 2.93168003939320
1 50 2.90257003942228
2 50 2.88419137805279
3 50 2.86426769411637
4 50 2.8524177856938
1 75 2.82232565417372
2 75 2.81123986288143
3 75 2.77874462386905
4 75 2.75858110978852
