0,1,0,0,1,0,0,999,999,1,0
1,3,0,0,3,0,0,996,996,4,0
2,1,0,0,1,0,0,995,995,5,0
3,1,0,0,1,0,0,994,994,6,0
4,0,0,0,0,0,0,994,994,6,0
5,0,0,0,0,0,0,994,994,6,0
6,2,0,0,2,0,0,992,992,8,0
7,0,0,0,0,0,0,992,992,8,0
8,0,0,0,0,0,0,992,992,8,0
9,0,0,0,0,0,0,992,992,8,0
10,1,0,0,1,0,0,991,991,9,0
11,3,0,0,3,0,0,988,988,12,0
12,1,0,0,1,0,0,987,987,13,0
13,1,0,0,1,0,0,986,986,14,0
14,1,0,0,1,0,0,985,985,15,0
15,1,0,0,1,0,0,984,984,16,0
16,1,0,0,1,0,0,983,983,17,0
17,3,0,0,3,0,0,980,980,20,0
18,0,0,0,0,0,0,980,980,20,0
19,1,0,0,1,0,0,979,979,21,0
20,2,0,0,2,0,0,977,977,23,0
21,2,0,0,2,0,0,975,975,25,0
22,3,0,0,3,0,0,972,972,28,0
23,0,0,0,0,0,0,972,972,28,0
24,1,0,0,1,0,0,971,971,29,0
25,1,0,0,1,0,0,970,970,30,0
26,0,0,0,0,0,0,970,970,30,0
27,1,0,0,1,0,0,969,969,31,0
28,0,0,0,0,0,0,969,969,31,0
29,0,0,0,0,0,0,969,969,31,0
30,1,0,0,1,0,0,968,968,32,0
31,0,0,0,0,0,0,968,968,32,0
32,2,0,0,2,0,0,966,966,34,0
33,2,0,0,2,0,0,964,964,36,0
34,1,0,0,1,0,0,963,963,37,0
35,0,0,0,0,0,0,963,963,37,0
36,1,0,0,1,0,0,962,962,38,0
37,1,1,0,1,0,0,962,962,38,0
38,1,0,0,1,0,0,961,961,39,0
39,0,0,0,0,0,0,961,961,39,0
40,1,0,0,1,0,0,960,960,40,0
41,1,0,0,1,0,0,959,959,41,0
42,1,0,0,1,0,0,958,958,42,0
43,1,1,0,1,0,0,958,958,42,0
44,1,0,0,1,0,0,957,957,43,0
45,1,0,0,1,0,0,956,956,44,0
46,1,0,0,1,0,0,955,955,45,0
47,0,0,0,0,0,0,955,955,45,0
48,1,0,0,1,0,0,954,954,46,0
49,1,0,0,1,0,0,953,953,47,0
50,1,0,0,1,0,0,952,952,48,0
51,0,0,0,0,0,0,952,952,48,0
52,1,0,0,1,0,0,951,951,49,0
53,1,0,0,1,0,0,950,950,50,0
54,2,0,0,2,0,0,948,948,52,0
55,1,0,0,1,0,0,947,947,53,0
56,1,0,0,1,0,0,946,946,54,0
57,2,0,0,2,0,0,944,944,56,0
58,4,0,0,4,0,0,940,940,60,0
59,1,0,1,1,0,0,939,939,61,0
60,1,0,0,1,0,0,938,938,62,0
61,1,0,0,1,0,0,937,937,63,0
62,0,0,0,0,0,0,937,937,63,0
63,2,0,0,2,0,0,935,935,65,0
64,0,0,0,0,0,0,935,935,65,0
65,0,0,0,0,0,0,935,935,65,0
66,0,0,0,0,0,0,935,935,65,0
67,1,0,0,1,0,0,934,934,66,0
68,0,0,0,0,0,0,934,934,66,0
69,2,0,0,2,0,0,932,932,68,0
70,0,0,0,0,0,0,932,932,68,0
71,1,0,0,1,0,0,931,931,69,0
72,3,1,0,3,0,0,929,929,71,0
73,2,0,0,2,0,0,927,927,73,0
74,1,0,0,1,0,0,926,926,74,0
75,0,0,0,0,0,0,926,926,74,0
76,0,0,0,0,0,0,926,926,74,0
